Name,Rating,Review
Flipkart Customer,5,Using this Iphone 15 from 1month and it has best CameraREAD MORE
Dev  Kumar,5,Camera quality top notch 👍READ MORE
Varsha Sadanand Salve,5,"The iPhone 15 exceeded my expectations in every way possible. The sleek design, stunning display, and lightning-fast performance make it a standout device in the smartphone market. The camera quality is unparalleled, capturing every moment with incredible detail and clarity. Plus, the battery life is impressive, easily lasting me throughout the day.With the added bonus of a great deal and discount, purchasing the iPhone 15 from Flipkart was an absolute steal.READ MORE"
Zeeshan Khan,5,Awesome quality I am very happy. Thank you Flipkart.READ MORE
Neeraj  Chouhan,5,Amezing  camera and all over best phone👌READ MORE
Jayanta  Roy,5,Nice 🙂🙂🙂🙂🙂READ MORE
Shubhanker  Singh,5,Simply wow wow wow 😍❤️READ MORE
Flipkart Customer,5,Camera 🔥READ MORE
Amit Biswas,5,A Perfect Smartphone 😍❤️👌👌READ MORE
Sajib Das,5,moving from android to apple is a surreal experience. still apple could focus on more flexibility towards the apps.READ MORE
Nitin Kumar,5,Very nice product 👌👌👌👌👌READ MORE
Akash  Deep,5,Camera is just wow. All classes clicks are done at night....phone Performance is awesome.... I'm writing now again for review...it's really maintained its premium imageREAD MORE
Bhaskar Sharma,5,AwesomeREAD MORE
Jayanth Jai,5,Their is nothing to explain about Apple iPhone nowadays everyone knows when ur comes to iPhone 15 is just amazing 🔥READ MORE
Flipkart Customer,5,Best for regular usageREAD MORE
SANDEEP SOMAN,5,48 megapixel is lit🔥Thin bessels compared to 14Lesser in weightDynamic Island works perfectlyGood battery backup ⚡My rating 5/5READ MORE
ANUP SINGH GAUTAM,5,Absolutely gorgeous 😻READ MORE
Akhilesh Bepari,5,It's performance is super and nice camera also a ok battery backup..READ MORE
Atul Negi,5,It looks so good in my hand !.......WAU?READ MORE
Anwar Customer,5,Only 90fps is needAnd best phone of the year goes to this phoneREAD MORE
SYAM SUNDER,5,Camera is so goodREAD MORE
RAHUL  SEN,5,Such a amazing phone 🫶🏻READ MORE
Kesab Pradhan,4,Nice photoREAD MORE
Naveen S,4,Very nice product☺️☺️we loved the phone very muchREAD MORE
Feroz Basha,5,Loved this product ❤️❤️READ MORE
Preenit  Rai,5,Camera is good but not too good like other camera phone.Performance is good but missed 90hz display.Battery is good enough for a day use.Sound is quite awesome like no other phonesRest phone is good to go for.READ MORE
Abhijit Kumar,5,A perfect n balanced phone ❣️. Was thinking of switching to ios from last two years and yeah its worth buying the black beauty 🖤.READ MORE
SHASHANK PATHAK,5,"Great Experience Flipkart I am giving 10 of 10 Camera, Sound, Screen... Transportation Mi note 9 pro Max to Iphone 15 .READ MORE"
Kishu Kumar,5,Absolutely premium product..just wowREAD MORE
jay singh,5,"Just upgraded from iphone 12 to 15 and I totally loved this 15 series.Camera:- No doubt iphones camera are best of any other smartphone, primary camera is now 48mp which gives quite sharp images, 2x in portrait mode is definitely a game changer in base varient.Battery:- 3349 mAH is quite better as compared to older versions.Performance:- Apple improve performance by introducing A-16 bionic chip, no doubt performance is on top.Display:- In display we get dynamic island which gives phone mo...READ MORE"
ABIR  MODAK,5,The camera quality is just awesome ..just like DSLRREAD MORE
Khushboo Verma,5,Great experienceREAD MORE
Dr Rohith Gurugubelli,5,Great for photography nd videographyEspecially inbuilt 2x zoom helps a lot which is missing in previous basic modelsREAD MORE
Bibhu Prasad  Bisoyi,5,Nice Product Thanks for FlipkartCamera 10/10Battery 8/10Display 10/10READ MORE
PROSIT DAS,5,As Expected 🤣😂🫣READ MORE
Sunny  Patel,5,Loved it 🥰READ MORE
Sharon Lepcha,5,I was sceptical of online purchase but I was wrong I got what I orderedBest phone everREAD MORE
Anubhav Chauhan,5,"I have recently switched from Android to ios, it does feel very strange at the beginning but now I am getting habitual to the iosIt is really very nice and feels premium. The camera is also very nice. I am fully satisfied with this purchase.READ MORE"
Mukesh Kumar,5,Pic Quality AwesomeREAD MORE
Flipkart Customer,5,"This mobile is phenomenal, I like the camera mostREAD MORE"
Nirmala Sahu,5,"Just ok like any other premium android phone. Sound is just fantastic and face unlock feature is more convenient than fingerprint scanner. Battery backup is more than android 5000 mah battery. This is my frist iPhone, migrated from android due to chipset heating problem in Google tensor chip and Samsung exonys processsor.READ MORE"
Purnendu Mondal,5,Switch from android to iPhone😍Just wow. Camera and battery backup is outstanding for daily useREAD MORE
Ajmir Hossain,5,I have been using this phone since two months.And this phone is amazing.Camera- 10/10Display- 10/10Performance- 10/10Battery- 9.5/10READ MORE
Nilesh  Yadav,5,Best in class..! Superb camera and performance. Fine grip.READ MORE
Nilanjan Pal,5,Meet my expectations!READ MORE
Mohammad  Zishan,5,Amazing one_____😍😘✌️READ MORE
Urgain Norzin,5,It's amazing nd also the delivery boy was very humble.READ MORE
Anish Sanjay,5,Really its the best and richest design 😍READ MORE
Arpan Dewanjee,4,Writing this review after extensive usage. Hope it helps interested buyers decide.1. Display:- 4/5 (Great display but limited to 60Hz in 2023-24)2. Camera:- 4/5 (Great cameras but no telephoto at this price segment but this time Apple really nailed it with the 15 series 24mp shots are very sharp and detailed)3. Performance:- 5/5 (One of the fastest SOC available right now)4. Battery:- 3/5 (Average battery life also charger not included in the box and still charges slowly with the 20w bric...READ MORE
Surabhi Das,5,Awesome...READ MORE
Ayan Das,5,Light weight phone. Camera and sound is fine and performance is highly appreciable.READ MORE
VENKATESH REDDY,5,SuperGood ProductREAD MORE
Mohammad  Mubarak,4,Everything lovelyJust for the first time u wont feel much difference b/w pro and non pro model iphones.READ MORE
Himanjan Bora,4,"Coming from an iPhone 11, the upgrade is not completely unnecessary. I can see few daily improvements which impacts me personally. The battery back up is a good upgrade. The cameras are obviously better. The Dynamic Island is alright but not something I cannot live without. Face ID works smoother.I am not into games, so no comments on that. For a regular person, this phone is more than enough. And for people with other Apple devices, this is just an awesome part of the ecosystem.READ MORE"
Ajay Vishwakarma,5,Love the performance 👍READ MORE
dr sachchidanand  pardeshi,5,Very good qualityREAD MORE
Nandita Panchal,5,Brilliant 🫶🏻🤩READ MORE
Aniket Zurange,5,I order smartphone from Flipkart. This is my 4th phone i order. I have had the best experience every time.READ MORE
jithu reddy,5,Performance superREAD MORE
Abnish  Sen,5,SuperREAD MORE
KALPESH SHIRSEKAR,5,Coming from iphone 12 mini.Camera is definitely a upgrade over the previous generation.Design outside remains the same. Pastel colours with matte finish.The Dynamic Island is what i liked for the notification part.Processor of previous generation pro models.Overall a value for money among the 15 models.Got it a great deal in flipkart clubbing exchange and bank offers.Delivery was on time.READ MORE
Abhishek Kumar,5,awesome camera looks like Captured DSLR qualitySounds quality bestBattery backup is good not better and bestAbout performance i have no wordsREAD MORE
Suraj Mehra,5,NiceREAD MORE
Flipkart Customer,5,Nice one 🫶READ MORE
Flipkart Customer,4,Mobile battery consumption very fastSo that I charge 3 times to charge in a dayREAD MORE
Thilak Kumar,4,I upgraded from iPhone 13 to 15 and this phone is awesome worth the money go for itREAD MORE
Ashish  Raj,5,Awesome phone ❤️READ MORE
Monish B,4,"Battery is worst!I am moving from android, so i feel my 20k android phone is better than this iphone. Although i brought this for apple ecosystem!READ MORE"
Krishna kishor Singh,5,best camera phone 🥰READ MORE
Flipkart Customer,5,Superb... Shifted from Android to iPhone 15..classs👍READ MORE
Sumitra Swain,5,Awasome PhoneAwasome Camera🐼........Rest is History DuduREAD MORE
Baban Dey,5,"Great product,must buy if you are iPhone loversREAD MORE"
Flipkart Customer,5,"Great phone except the battery, which isn't bad as well. Just not as good as other flagshipsREAD MORE"
Aman Nur,5,good one.READ MORE
Shivani Jain,5,Awesome😍switch from android to iOSREAD MORE
Subhodeep Roy,5,Fully satisfied 👍🏻READ MORE
Manya Customer,5,"The phone is pretty awesome! Switching from android to ios. Smooth performance, amazing camera and battery backup so far is great. Worth it!READ MORE"
Gulshan  Ahmed,5,Overall sameREAD MORE
K.srinath Sri,5,Amazing product❤️❤️Best iPhone out of all the iPhone seriesREAD MORE
Amitabh Srivastava,5,"This is an amazing phone and back side of phone is frozen glass which makes it less prone to finger marks while holding. Till now enjoying it, will update with further details after a week.READ MORE"
Vanshu  Customer,5,"Arrived on launch day and after using it for a day, the iPhone 15 is AMAZING. After almost 5 years it was finally time for me to upgrade from my iPhone XR. Set up was smooth and seamless, especially using iCloud to transfer data over.The display is greatly improved, and it gets a lot brighter which is helpful outdoors. The dynamic island works smoothly even on the standard model's 60Hz screen. This phone's cameras take highly detailed photos even without a dedicated telephoto lens. In terms o...READ MORE"
K Deepak,5,Awesome productREAD MORE
Vikash Kumar,4,Just luking like a awwREAD MORE
Nasir Uddin Sheikh,4,"iPhone 15 impresses with sleek design, powerful performance, and stunning camera upgrades. A technological leap forward, delivering a top-tier experience. 😍😊👍READ MORE"
Ijas S,5,"I was looking for a compact phone as daily driver which has a good camera, performance, stability and especially display.. I was hesitant to move from Android to an IOS but yeah I won't regret.. I loved the camera, Loved the display, phone is handy, can use it in one hand, clean software (ofcourse). I love how Apple has given importance to the privacy and security of the user and their devices too. Have been using it regularly with a 6-9 hours of screentime and the battery lasts for more than...READ MORE"
Sayan Ray,5,Nice device!READ MORE
Mohd Hasnain,5,"Upgraded from iPhone 11, The camera quality is awesomeThe display quality is great and the dynamic island working perfectlyHappy with Apple and FlipkartREAD MORE"
Arman Ali,5,Pros48MP Camera With 2x Zoom.Dynamic Island.USB-C Port.Superb Design and Premium Build.ConsOnly 60Hz Display Refresh Rate.Slow Charging.No Action Button.No Always-on Display.RatingCamera - 4.5/5Battery - 4/5Performance - 4.5/5Charging - 4/5Display - 4/5Design and Build - 4.5/5Sound - 4/5Software - 4.5/5Value For Money - 4/5Overall Experience - 4.5/5Hit Like 👍 Button If This Review Really Helps You.READ MORE
Harpreet Singh,5,v v goodREAD MORE
Gaurav Verma,3,Not giving a fast refresh rate is really a bad idea.Shame on you apple...with this range of phone this kind of average feature should have been given.READ MORE
Vipul  Kumar singh,5,Awesome qualityREAD MORE
Jayanth K B,5,I just loved it 😍Thank you so much ❤️READ MORE
Raghupathireddy Paindla,5,Very good. Happy with the product. Camera quality and performance is amazing.READ MORE
Yash saini,5,Battery lasted longer than my first relationship (4days). Listening to arijit singh songs on full volume since then still isn't getting over. Has more warmth than her. Unlike her there's two way communication here as touchpad is very responsive . Fingerprint unlock is nice as it only opens up to me. 5 Star for this -1 for ShivanshiREAD MORE
jeet  sikder,5,10/10 I love this  love it very good workREAD MORE
Flipkart Customer,5,Good stuff.. bss thora battery cazual hai 💀READ MORE
Srasthanibedita  Swain,5,Awsm.READ MORE
Sadiya  Sadi,5,Nice just heat issueREAD MORE
Flipkart Customer,5,Goood phoneREAD MORE
Saswata Dash,5,Awesome battery backup. Best lowlight camera .READ MORE
Abhishek Yadav,5,Amazing camera qualityREAD MORE
shanavas vn,5,SUPER12 MINI TO 15 😍😍😍READ MORE
mohit raj,4,"I have been an Android phone user since  ever, until now.The matte frosting on the back is marvelous and doesn't attract fingerprints or smudges.I love the form factor as it's one hand friendly.For better gaming experience users should opt for the plus size.The screen is great with excellent outdoor visibility. The battery life is crazy good especially the standby time. Barely sips anything overnight. I am using an Android fast charger to charge this and the charging time is decent, no is...READ MORE"
Vishnu  Belamana,4,Worth VarmaREAD MORE
Flipkart Customer,4,After 10 days of use.Camera 10/10Battery 8/10( I am a light user so battery stands more than 20 hrs)Performance 10/10Display 10/10READ MORE
Shailesh choudhari,4,"Best phone i have ever used in terms of performance, photography and other features.READ MORE"
Vikas Pathade,5,"My Experience from January to till date was awesome, it gives you best performance in any features than other iPhones.READ MORE"
Rohit Pingale,5,Nice ColourREAD MORE
Mohammad Amir,3,Design and performance is good. But somehow I felt the quality and standard is not the same as it used to be. It does heat up while charging and prolonged usage. This is unexpected and unacceptable. Also there are connectivity issues with Apple CarPlay.READ MORE
Shivam  Maurya,5,Nice productBest phone 📱READ MORE
santosh  parida,5,Excellent!!!READ MORE
Sachinaaaa,5,A fantastic product.I was an iPhone 13 user I have upgraded to this. Brilliant display. I can see a great difference in battery backup. I can also say that the Dynamic Island helps in UI to the users. Looks premium. Price range might drop in a year.Thanks for Flipkart sale days.READ MORE
Mohamed Suheb,5,"Mind blowing purchase, I received the right item. Thank you Flipkart.If telling about iPhone its value for moneyGreat camera and video. 5/5Display 5/5Sound and heroics 5/5Overall good.READ MORE"
Rajveer Singh,5,"Best in class Device, Apple never ceases to Amaze customers. Lightweight and sleek look. Matte back finish helps with a fine grip.READ MORE"
MONIRUL MOLLA,5,Best photo for iPhone 15READ MORE
Naseer Ahmed,5,My mom giftREAD MORE
Yadu krishnan,5,Awesome experience. thanks to flipkartREAD MORE
Dr Babu  Mandal,5,Marvellous camera. Light weight. Perfect handy.Used every pro version before 15.But trust me . I personally feel this 15 is at par with its pro version camera .READ MORE
Flipkart Customer,5,I bought at 53k for my Father.. He really liked the phone. Best phone at this price range.Camera : 5/5Display : 5/5Battery : 4/5Performance : 5/5Only cons is that it still comes with 60Hz display and battery does not last long.READ MORE
Kishan  Behera,5,SpeechlessSo BeautifulSo ElegantJust Looking Like Of Wow🥰😀😜I Upgrde iPhone 12 To IPhone 15READ MORE
Dhruv M Golwala,5,"Awesome experience entering the apple ecosystem, below are some of the pros and consPros~2) camera is awesome and clicks good photos even in daylight and night3) size is perfect and easy to handle4) Apple ecosystem is the best5) battery charging rate is good and not too slow, and battery backup is also lasting 1 day for a normal usage.6) Dynamic Island is the best upgrade from 14.7) texture and phone build quality has improved a lotCons~1) sometimes phone gets heated but that is ma...READ MORE"
MOHAMMAD SHAHNAWAZ,5,Gud productREAD MORE
Ashwani Kumar,5,Fantastic ❤️READ MORE
Malay Singha,5,Good product (value for money) terms are not suitable for this type of product because a huge amount for any middle class Indian tex payer person ❤️READ MORE
Dipanjan  Saha,5,The photos clicked with the mobile just seems awesome and lively!!READ MORE
ALIM  Khan,5,Good overREAD MORE
SAURABH KUMAR,5,Firstly I worried that Flipkart send duplicate or refurbished iPhone but I am wrong great shopping experience genuine product at reasonable price max discount rather than other online or offline platforms great deal with Flipkart I am impressed and obviously great product from AppleREAD MORE
Ravi Gangrale,5,Great camera quality 😍😍READ MORE
Bhupesh Pant,5,Awesome Phone with awesome camera. Updated from iphone 13 to 15 I love this.READ MORE
Raghava Karthik,5,Beautiful camera and also updated features for iPhone 15.READ MORE
Leo Jonas Doyom,5,Great deviceThe 60hz is not a big deal like the influencers says that it is.READ MORE
Aditya  Arya,5,Happy 😊READ MORE
Munish  Choudhary,5,Camera is goodREAD MORE
neeraj gour,5,SuperREAD MORE
Priya  Mm,5,"The product is good, the battery is decent and there are no heating issues as public mentioned before buying this.Sound quality is amazing and no need speakerDisplay and picture quality like theatre experience.Small screen but lot of wondersREAD MORE"
G MOHAMMED SALEEM,5,Good 👍 my 2nd i phoneREAD MORE
Sushobhit Meena,4,Good phone but display 60 hz very slow in 2023READ MORE
Rohit Semwal,5,You have to charge it 3 times atleast if you use it as a primary phoneOtherwise the phone is yooREAD MORE
Srimanti Dutta,5,This is my first iPhone . Bought it from flipkart and flipkart never disappoints me. Bought it during Republic Day sale and got a really good deal. Thank You FlipkartREAD MORE
Shrikant Panigrahi,5,Black one is classy. Photos are much better than 13READ MORE
NOOR ALAM,5,Awsm 😍😍READ MORE
Aarif  Khan,5,Apple iPhone 15 blue 128GB GOOD MOBILE  phone Name Aarif khan Alwar Rajasthan IndianREAD MORE
Utpal  Mondal,5,This is undoubtedly the best in the market! Feels premium and also the performance is at par excellence! A beast in terms of camera quality and battery backup!READ MORE
Akash  Khabale,3,Why the apple does not work on battery backupIts really worst. according to price battery backup is very bad you need to charge 2 times for a days.Even 6k 7k price phone gives awesome battery life.READ MORE
kantu  G K,4,Its good but its bad in battery  condition and its has heating issue.This mobile is not for heavy mobile user likeThis is ok for professional person.This is for avarage mobile userWho have this mindset (brand and society remarks are important )So go for 🍎Otherwise there are lot of mobiles available with adavance thecnology and with comfortable and better user interfaceREAD MORE
ATHAR  faisal,3,"To,Dear Flipkart Team, I hope this email finds you well. I am writing to bring to your attention an issue I encountered during my recent access to Urly on 25th September 2024 through my Plus membership. On the night of 25th September, I eagerly awaited the bigbillion sale and placed an order for an iPhone 15 using my HDFC credit card. However, despite multiple attempts, the order did not go through. I eventually made the full payment via Google Pay, but noticed discrepancies in the amount ch...READ MORE"
Charan,3,Mobile heats a lot and battery drain fastREAD MORE
Hardik Chaudhary,5,It was on republic sale. I got value for money.Piece is genuine.Camera is best with 48 MP primary lens.Performance is very good.There are some restrictions otherwise it is very good.READ MORE
Flipkart Customer,5,NiceREAD MORE
Ogam  Tayeng,3,"After 4+ months.Cons:1. Still heats eats up a lot!!!2. Wifi connection is very poor in this model, it fails to connect most of the time automatically where I manually need to search and join the wifi and then again it automatically disconnects. I have an iPad air which works fine, maybe it's a range issue.3. My keyboard switches automatically from Microsoft SwiftKey to stock ios keyboard. Idk what's the issue??4. Need to switch to airplane mode after going out from the wifi range otherwi...READ MORE"
Manish  sinha,5,I love itREAD MORE
Varindra Sahu,5,Best purchase.READ MORE
seetha Ram,5,"Mobile is good, battery is drain fast 1 day 2 time charging,I am heavy user, but still goodREAD MORE"
Flipkart Customer,5,Only using this for few days here are my pro and consPro1. Form factor is very nice small design2. Battery life is really good easily 1 day with heavy usage3. Camera quality is really insaneCons1. Charging takes too much time2. 60hz display although once you get used to its not much of an issue3. Some times phone gets hotREAD MORE
Flipkart Customer,5,A very good product and also loved itREAD MORE
Flipkart Customer,5,Probably best phone to buy under 53kOverall good balanced phoneBeing a ios device it'll never give you the fun of an Android device. Buy only if you want it for professional reasonsREAD MORE
Abi Yuvan,5,Battery only drain fastBattery health 98 at two monthBut worthREAD MORE
jagabandhu jena,5,Design The iPhone 15 has a satin-finished design and a durable glass panel on the front.Dynamic Island The Dynamic Island helps with multitasking.IP68 ingress protection The iPhone 15 can withstand being submerged in up to 6 meters of fresh water for 30 minutes.Stereo speakers The iPhone 15's stereo speakers are loud and have good sound quality. The battery life is lower than expected draining very fast and as usual heating issues there.READ MORE
Adhitya Ramakrishnan,5,Everything is awesome! Great phone..READ MORE
Gayatri Godara,5,If you aree happy...... if you are feeling good......then nothing else matters😍🤗🙏READ MORE
Satyam Singh,5,Nice phoneREAD MORE
Atul kumar Soni,5,"This is the first time I've purchased iphone and it's great.Performance, speed and the feature is good and new update of the IOS having great feature and customizations in the UI.READ MORE"
Abdal  Qamar,5,Recently I Switch from Vivo to iPhone. I am satisfied with camera performance And Display but not battery. Everything is perfect on iPhone 15.READ MORE
Santhosh Bachu,5,"Very nice iPhone 15, very good quality, very nice display. Very nice camera, thanks.READ MORE"
pankaj singh,5,Nice product...camera is awesome....also light weightREAD MORE
Gaurav Kumar,5,Awesome experience in my opinion. I am first time iPhone user. And can say:-Camera: 10/10Performance: 10/10Display: 10/10Battery: 8/10READ MORE
R K,5,Everything is fine but sometimes it unnecessarily heats up.READ MORE
Babul Ali,5,NICEREAD MORE
ANKIT ANAND,5,Nice product but battery 🔋 quality BadREAD MORE
Deepak  Meena,5,Nice prodREAD MORE
Flipkart Customer,5,Beast in that price range ⚜️🔥READ MORE
Flipkart Customer,5,-Wonderful performance-Camera quality is superb-battery backup not that good-sound quality is awesomeREAD MORE
Ritu Raj,5,Best product...READ MORE
Rupesh jha,5,Switched from Redmi 12 5G to Iphone 15 . It feels like I have never used Phone. Totally Worth It and the Feeling of using Iphone is Super Awesome.READ MORE
PRAKASH MANDAL,5,Nice prodouct thank you flipkartREAD MORE
SHUVAM DAS,5,"Switching Android to ios awesome experience,I just love it . And thanks Flipkart for open box delivery option.READ MORE"
Yadav ajeet Yadav,5,iPhone 15 better than 16 ..READ MORE
Sourajyoti  Malakar,5,What to say about iphone😂If you have money then buy it.READ MORE
Vicky Krishna,5,Am a Android User First Time Switching To IOS Really Its Awesome (iphone 15)Camera 5/5Battery 4/5Design 5/5Display 5/5Speaker 5/5READ MORE
MOBARAK SK,5,All are good 😊READ MORE
Flipkart Customer,5,"Initially I missed 120 Hz screen refresh rate after switching from Mi 11x pro to iphone15. It been a month using iPhone 15, accordingly to my experience, unless you want to purchase more apple products like Mac book, apple watch etc. it is not smart decision to buy iphone. But I surely appreciated it's small form factor and less weight. Battery backup is also good.READ MORE"
Prashanth  Reddy,5,Awesome product and received an original productREAD MORE
KaryD,5,Awestruck by its performance 👌READ MORE
Biswadeep Roy,5,Far better than 15pro no finger print even with moisturize handsREAD MORE
Venkat Ramana,5,Amazing 😍😍😍😍Just go and buy it blindly if you have enough of moneyREAD MORE
Vishnu Singh,4,"Phone is good built lightweight,handy, camera good quality, display great phone is nice if love it's OS and can spend that muchREAD MORE"
Shadab Lampsy,4,Apple as usual. Eco system is great. Rest all are average for the price but I paid for the ecosystemREAD MORE
Manoj negi,4,"Phone is good but if u already have an iPhone 12,13,14 then it's not worth upgrading, same design and similar performance except dynamic Island which I guarantee you will ever notice or useREAD MORE"
Motam Jamatia,4,I phone is phone nothing but it's a brand that makes the cost. Better should be more improved. And it gives heat.READ MORE
Praveen sarwa,4,Product is good. But worst delivery experienceREAD MORE
Deepti Rankhambe,4,Overall performance is best.Good aesthetic and nice color. Only thing worries me that it gets really hot with increase of brightness and during 15 min video call..READ MORE
Sandeep Mehta,4,Phone is great.READ MORE
Nalinakshya Sahoo,4,"Phone is good. Good battery backup , upgraded camera.But I feel refresh rate should be 90hz atleast.READ MORE"
Amit Tekriwal,3,"The only thing I like about this phone is the camera quality and that is the reason I bought this phone.I already have an Android phone which is less than 50% of its price and still is better in every aspect except the camera.Well! Definitely, iphone 15 has a flagship level chipset but I am not a gamer and a normal user and I find mid rangers and flagship all perform at similar level in daily tasks.While iphone 15 only has 60hz screen which feels choppy, all other phones have 120-144hz scr...READ MORE"
Baljinder Singh,3,Too much heat when camera usedREAD MORE
ANKIT kumar,5,"The best part of camera is cinematic video which is fabulous. Rest of the things are good, but cinematic mode is on next level, higher rate is missing which may hurt phone noise cancellation is on. Also next level. Some small small features which make sweet point to use and make it different from android efforts of making iOS and developing some sweet sweet things are appreciable and if you have MacBook or iPad, ecosystem work, fantastically the best things for this iPhone is much much better...READ MORE"
Suman Chakraborty,5,awsm phone. best performanceREAD MORE
Durga prasad,5,GoodREAD MORE
anujyadav anuj,5,Very good productREAD MORE
Ashwani Mishra,5,The iPhone 15 features a 48-megapixel main camera sensorIt is powered by the A16 Bionic SoCThe iPhone 15 now comes with Dynamic IREAD MORE
Krupansh Patel,5,Overall Beast Performance 🔥10/10 Just Go For It 😎👍READ MORE
Dev Sarda,5,The best one from apple💙READ MORE
Naresh Soni,5,Very goodREAD MORE
Flipkart Customer,5,Execpt battery everything work awesomeREAD MORE
Sudipto Sarkar,5,What a phone super performance with light weight.Please find my details review as follows.1. Camera - camera is super with very gud quality photo even at night as well.2. Battery - battery backup is fine and will last for one day long.3. Performance - iphone 15 performance is super. No lagging and no heating issue.Cons-1. Battery could be better at this price range.2. Face recognition is not good as not always open with face IDREAD MORE
Tekchand Biswal,5,Nice product. The look of the phone is awesome 👌. Great to have the iphone black color.READ MORE
ABDUR RAHMAN,5,First time experiencing I phone. It feels premium and quality is awesome love it ❤️❤️❤️READ MORE
Santu Rana,4,"I have both galaxy s23 and iphone, galaxy is taking 9/10 good photos compared to iphone 7/10 photos. Iphone only shine on video.For better photo buy galaxy s23Better video go for iphone.READ MORE"
Dipin Kapoor,4,"I am an iphone user since long. I have bought this YELLOW colour. But really feel that apple should rethink and rename this colour as GOLDEN YELLOW, its edges are slightly on the Golden side as you can see in the pics. Additional feature as compare to iphone 13, this has Dynamic Island and camera is superb 👌🏻 I am using it for 5 hrs daily, not facing any heating issue as such.READ MORE"
Kajal Yadav,5,"I have moved from android to ios, iphone 15 is really a good device, fulfills all the basic things that needed at daily lifeJust a note for the battery consumption, it drains a bit fastREAD MORE"
vikash kumar,5,Camera is best qualityREAD MORE
Jishnu  Samanta,5,"I recently purchased the iPhone 15 from Flipkart, and I'm thrilled with my experience. The sleek design and vibrant display are stunning, and the performance is top-notch with its powerful A16 Bionic chip. The camera quality is exceptional, capturing detailed and vivid photos even in low light. Battery life has been impressive, easily lasting a full day with heavy use. Flipkart's delivery was prompt, and the packaging was secure. Overall, I'm extremely satisfied with my purchase and would hig...READ MORE"
Amiya Roy,5,"Upgraded from Iphone 11. worth buying it. here are some pros and cons.Pros:1) Smooth, constant software update,2)6 GB RAM,1 day easily sustainable battery life3) extremely helpful if you are in apple ecosystem.4) 48MP camera is really great if we compare  with my I Phone 11's 12 MP .Best video quality.5) don't go for 15 plus or pro model even if you have enough money. but 128 GB base model within 65000 RS and use that extra money to buy MacBook AIR or airpod 3rd GEN.CONS:1) 60HZ disp...READ MORE"
Amish Kumar yadav,5,All good in this n camera superbREAD MORE
Himalaya  Panwar,5,Excellent purchase battery life is good for medium usage but can get you through the whole day on single charge. Am just loving this phoneREAD MORE
Vamshi Reddy,5,Amazing Camera and batteryREAD MORE
Ashis Karamakar,5,Excellent productREAD MORE
Atul Rasyal,5,The product is good.Prize is excessive due to Apple branding only. Battery backup is not up to expectations. Flagship Titanium is lacking in it which is available in pro models only. At this price the screen should have been 6.8 inches at least.READ MORE
Abhisekh Kumar,5,I can say the 60hz doesn't feel 60hz it is very smooth and may be because of appleI was too worried about the 60 hz because I was switching from 120hz Android (realme GT master edition) to this one but after using iphone 15 I feel lags in my android 120hzBut I feel camera quality is avg but videography is next levelLove the speakerQuality of display is just wowCharging is also quite good and battery backup is also awesomeI am getting 5-6 hr gameplay(free fire+bgmi) from 100% to 25% qui...READ MORE
SUMIT LOHIA,5,Click the pic is amazing.READ MORE
